Sr.No.	HEADWORD	GENDER	AMAR	ABCH	ACPH	ACSJ	ACVH
388	अर्क	पुं	x	367	x	x	x
389	ग्रह	पुं	x	368	x	x	x
390	नक्षत्र	पुं	x	369	x	x	x
391	तारक	पुं	x	370	x	x	x
392	किन्नर	पुं	18	361	x	x	x
393	पिशाच	पुं	19	357	x	x	x
394	गुह्यक	पुं	20	x	x	x	x
395	सिद्ध	पुं	21	x	x	x	x
396	भूत	पुं	22	358	x	x	x
397	देवयोनि	स्त्री	23	x	x	x	x
398	किम्पुरुष	पुं	x	362	x	x	x
399	महोरग	पुं	x	363	x	x	x
400	असुर	पुं	24	753	x	x	x
400	दैत्य	पुं	24	x	x	x	x
400	दैतेय	पुं	24	x	x	x	753
400	दनुज	पुं	24	753	x	x	x
400	इन्द्रारि	पुं	24	x	x	x	x
400	दानव	पुं	24	x	x	x	753
400	शुक्रशिष्य	पुं	24	753	x	x	x
400	दितिसुत	पुं	24	x	x	x	x
400	पूर्वदेव	पुं	24	753	x	x	x
400	सुरद्विष्	पुं	24	x	x	x	x
400	दितिज	पुं	x	753	x	x	x
400	पातालौकस्	पुं	x	753	x	x	x
400	सुरारि	पुं	x	753	x	x	x
401	सर्वज्ञ	पुं	25	x	x	x	x
401	सुगत	पुं	25	744	x	x	x
401	बुद्ध	पुं	25	744	x	x	x
401	धर्मराज	पुं	25	744	x	x	x
401	तथागत	पुं	25	744	x	x	x
401	समन्तभद्र	पुं	25	744	x	x	x
401	भगवत्	पुं	25	x	744	x	x
401	मारजित्	पुं	25	744	x	x	x
401	लोकजित्	पुं	25	744	x	x	x
401	जिन	पुं	25	744	x	x	x
401	षडभिज्ञ	पुं	25	744	x	x	x
401	दशबल	पुं	25	744	x	x	x
401	अद्वयवादिन्	पुं	25	x	x	x	x
401	विनायक	पुं	25	744	x	x	x
401	मुनीन्द्र	पुं	25	744	x	x	x
401	श्रीघन	पुं	25	744	x	x	x
401	शास्तृ	पुं	25	744	x	x	x
401	मुनि	पुं	25	x	x	x	x
401	धर्मधातु	पुं	x	744	x	x	x
401	त्रिकालविद्	पुं	x	744	x	x	x
401	बोधिसत्त्व	पुं	x	744	x	x	x
401	महाबोधि	पुं	x	744	x	x	x
401	आर्य	पुं	x	744	x	x	x
401	पञ्चज्ञान	पुं	x	744	x	x	x
401	दशार्ह	पुं	x	744	x	x	x
401	दशभूमिग	पुं	x	744	x	x	x
401	चतुस्त्रिंशज्जातकज्ञ	पुं	x	744	x	x	x
401	दशपारमिताधर	पुं	x	744	x	x	x
401	द्वादशाक्ष	पुं	x	744	x	x	x
401	त्रिकाय	पुं	x	744	x	x	x
401	अद्वय	पुं	x	744	x	x	x
401	सङ्गुप्त	पुं	x	744	x	x	x
401	दयाकूर्च	पुं	x	744	x	x	x
401	खजित्	पुं	x	744	x	x	x
401	विज्ञानमातृक	पुं	x	744	x	x	x
401	महामैत्र	पुं	x	744	x	x	x
401	योगिन्	पुं	x	x	744	x	x
401	बुध	पुं	x	x	744	x	x
401	विज्ञानदेशन	पुं	x	x	744	x	x
401	महासत्त्व	पुं	x	x	744	x	x
401	लोकनाथ	पुं	x	x	744	x	x
401	बोधि	पुं	x	x	744	x	x
401	अर्हत्	पुं	x	x	744	x	x
401	सुनिश्चित	पुं	x	x	744	x	x
401	गुणाब्धि	पुं	x	x	744	x	x
401	विगतद्वन्द्व	पुं	x	x	744	x	x
401	सिद्धार्थ	पुं	x	x	x	744	x
402	बुद्ध	पुं	x	745	x	x	x
403	विपश्यिन्	पुं	x	746	x	x	x
404	शिखिन्	पुं	x	747	x	x	x
405	विश्वभू	पुं	x	748	x	x	x
406	क्रकुच्छन्द	पुं	x	749	x	x	x
407	काञ्चन	पुं	x	750	x	x	x
408	काश्यप	पुं	x	751	x	x	x
409	शाक्यमुनि	पुं	26	x	x	x	x
409	शाक्यसिंह	पुं	26	752	x	x	x
409	सर्वार्थसिद्ध	पुं	26	752	x	x	x
409	शौद्धोदनि	पुं	26	x	x	x	752
409	गौतम	पुं	26	x	x	x	x
409	अर्कबन्धु	पुं	26	x	x	x	x
409	मायादेवीसुत	पुं	26	x	x	x	x
409	अर्कबान्धव	पुं	x	752	x	x	x
409	राहुलसू	पुं	x	752	x	x	x
409	गोतमान्वय	पुं	x	752	x	x	x
409	मायासुत	पुं	x	752	x	x	x
409	शुद्धोदनसुत	पुं	x	752	x	x	x
409	देवदत्ताप्रज	पुं	x	752	x	x	x
410	ब्रह्मन्	पुं	27	691	x	x	x
410	आत्मभू	पुं	27	691	x	x	x
410	सुरज्येष्ठ	पुं	27	691	x	x	x
410	परमेष्ठिन्	पुं	27	691	x	x	x
410	पितामह	पुं	27	691	x	x	x
410	हिरण्यगर्भ	पुं	27	691	x	x	x
410	लोकेश	पुं	27	691	x	x	x
410	स्वयम्भू	पुं	27	691	x	x	x
410	चतुरानन	पुं	27	x	x	x	x
410	धातृ	पुं	27	691	x	x	x
410	अब्जयोनि	पुं	27	x	x	x	x
410	द्रुहिण	पुं	27	691	x	x	x
410	विरिञ्चि	पुं	27	691	x	x	x
410	कमलासन	पुं	27	x	x	x	x
410	स्रष्टृ	पुं	27	691	x	x	x
410	प्रजापति	पुं	27	691	x	x	x
410	वेधस्	पुं	27	691	x	x	x
410	विधातृ	पुं	27	691	x	x	x
410	विश्वसृज्	पुं	27	x	x	x	691
410	विधि	पुं	27	691	x	x	x
410	नाभिजन्मन्	पुं	27	x	x	x	691
410	अण्डज	पुं	27	x	x	x	x
410	पूर्व	पुं	27	x	x	x	x
410	निधन	पुं	27	x	x	x	x
410	कमलोद्भव	पुं	27	x	x	x	x
410	सदानन्द	पुं	27	x	x	x	x
410	रजोमूर्तिन्	पुं	27	x	x	x	x
410	सत्यक	पुं	27	x	x	x	x
410	हंसवाहन	पुं	27	x	x	x	x
410	द्रुघण	पुं	x	691	x	x	x
410	विरिञ्च	पुं	x	691	x	x	x
410	अज	पुं	x	691	x	x	x
410	अष्टश्रवण	पुं	x	691	x	x	x
410	कमन	पुं	x	691	x	x	x
410	कवि	पुं	x	691	x	x	x
410	सात्त्विक	पुं	x	691	x	x	x
410	वेदगर्भ	पुं	x	691	x	x	x
410	स्थविर	पुं	x	691	x	x	x
410	शतानन्द	पुं	x	691	x	x	x
410	क	पुं	x	691	x	x	x
410	ध्रुव	पुं	x	691	x	x	x
410	पुराणग	पुं	x	691	x	x	x
410	हंसग	पुं	x	691	x	x	x
410	विश्वरेतस्	पुं	x	691	x	x	x
410	चतुर्मुख	पुं	x	691	x	x	x
410	भवान्तकृत्	पुं	x	691	x	x	x
410	जगत्कर्तृ	पुं	x	691	x	x	x
410	सरोरुहासन	पुं	x	691	x	x	x
410	शम्भु	पुं	x	691	x	x	x
410	शतधृति	पुं	x	691	x	x	x
410	विरिञ्चन	पुं	x	691	x	x	x
410	नाभिभू	पुं	x	691	x	x	x
410	पद्मभू	पुं	x	691	x	x	x
410	क्षेत्रज्ञ	पुं	x	x	691	x	x
410	पुरुष	पुं	x	x	691	x	x
410	सनत्	पुं	x	x	691	x	x
410	श्वेतपत्ररथ	पुं	x	x	x	x	691
410	कमलजन्मन्	पुं	x	x	x	x	691
410	आत्मयोनि	पुं	x	x	x	x	691
411	विष्णु	पुं	28	692	x	x	x
411	नारायण	पुं	28	692	x	692	x
411	कृष्ण	पुं	28	692	x	x	x
411	वैकुण्ठ	पुं	28	692	x	x	x
411	विष्टरश्रवस्	पुं	28	692	x	x	x
411	दामोदर	पुं	28	692	x	x	x
411	हृषीकेश	पुं	28	692	x	x	x
411	केशव	पुं	28	692	x	x	x
411	माधव	पुं	28	692	x	x	x
411	स्वभू	पुं	28	692	x	x	x
411	दैत्यारि	पुं	28	692	x	x	x
411	पुण्डरीकाक्ष	पुं	28	692	x	x	x
411	गोविन्द	पुं	28	692	x	x	x
411	गरुडध्वज	पुं	28	x	x	x	x
411	पीताम्बर	पुं	28	692	x	x	x
411	अच्युत	पुं	28	692	x	x	x
411	शार्ङ्गिन्	पुं	28	x	x	x	692
411	विष्वक्सेन	पुं	28	692	x	x	x
411	जनार्दन	पुं	28	692	x	x	x
411	उपेन्द्र	पुं	28	692	x	x	x
411	इन्द्रावरज	पुं	28	x	x	x	x
411	चक्रपाणि	पुं	28	x	x	x	692
411	चतुर्भुज	पुं	28	692	x	x	x
411	पद्मनाभ	पुं	28	692	x	x	x
411	मधुरिपु	पुं	28	x	x	x	x
411	वासुदेव	पुं	28	692	x	x	x
411	त्रिविक्रम	पुं	28	692	x	x	x
411	देवकीनन्दन	पुं	28	x	x	x	x
411	शौरि	पुं	28	692	x	x	x
411	श्रीपति	पुं	28	692	x	x	x
411	पुरुषोत्तम	पुं	28	692	x	x	x
411	वनमालिन्	पुं	28	692	x	x	x
411	बलिध्वंसिन्	पुं	28	x	x	x	x
411	कंसाराति	पुं	28	x	x	x	x
411	अधोक्षज	पुं	28	692	x	x	x
411	विश्वम्भर	पुं	28	692	x	x	x
411	कैटभजित्	पुं	28	x	x	x	x
411	विधु	पुं	28	692	x	x	x
411	श्रीवत्सलाञ्छन	पुं	28	x	x	x	x
411	पुराणपुरुष	पुं	28	692	x	x	x
411	यज्ञपुरुष	पुं	28	692	x	x	x
411	नरकान्तक	पुं	28	x	x	x	x
411	जलशायिन्	पुं	28	x	x	x	x
411	विश्वरूप	पुं	28	692	x	x	x
411	मुकुन्द	पुं	28	692	x	x	x
411	मुरमर्दन	पुं	28	x	x	x	x
411	लक्ष्मीपति	पुं	28	x	x	x	x
411	मुरारि	पुं	28	x	x	x	692
411	जिष्णु	पुं	x	692	x	x	x
411	हरि	पुं	x	692	x	x	x
411	दाशार्ह	पुं	x	692	x	x	x
411	अब्धिशयन	पुं	x	692	x	x	x
411	अज	पुं	x	692	x	x	x
411	इन्द्रानुज	पुं	x	692	x	x	x
411	नरायण	पुं	x	692	x	x	x
411	जलशय	पुं	x	692	x	x	x
411	तार्क्ष्यध्वज	पुं	x	692	x	x	x
411	षड्बिन्दु	पुं	x	692	x	x	x
411	पद्मेशय	पुं	x	692	x	x	x
411	वृषाकपि	पुं	x	692	x	x	x
411	श्रीधर	पुं	x	692	x	x	x
411	सनातन	पुं	x	692	x	x	x
411	मार्ज	पुं	x	692	x	x	x
411	जिन	पुं	x	692	x	x	x
411	कुमोदक	पुं	x	692	x	x	x
411	जह्नु	पुं	x	692	x	x	x
411	पुनर्वसु	पुं	x	692	x	x	x
411	शतावर्त	पुं	x	692	x	x	x
411	गदाग्रज	पुं	x	692	x	x	x
411	मुञ्जकेशिन्	पुं	x	692	x	x	x
411	बभ्रु	पुं	x	692	x	x	x
411	शशबिन्दु	पुं	x	692	x	x	x
411	पृश्निशृङ्ग	पुं	x	692	x	x	x
411	धरणीधर	पुं	x	692	x	x	x
411	पाण्डवायन	पुं	x	692	x	x	x
411	सुवर्णबिन्दु	पुं	x	692	x	x	x
411	श्रीवत्स	पुं	x	692	x	x	x
411	देवकीसूनु	पुं	x	692	x	x	x
411	गोपेन्द्र	पुं	x	692	x	x	x
411	सोमसिन्धु	पुं	x	692	x	x	x
411	जगन्नाथ	पुं	x	692	x	x	x
411	गोवर्धनधर	पुं	x	692	x	x	x
411	यदुनाथ	पुं	x	692	x	x	x
411	गदाभृत्	पुं	x	692	x	x	x
411	शार्ङ्गभृत्	पुं	x	692	x	x	x
411	चक्रभृत्	पुं	x	692	x	x	x
411	श्रीवत्सभृत्	पुं	x	692	x	x	x
411	शङ्खभृत्	पुं	x	692	x	x	x
411	तीर्थपाद	पुं	x	x	692	x	x
411	पुण्यश्लोक	पुं	x	x	692	x	x
411	बलिन्दम	पुं	x	x	692	x	x
411	उरुक्रम	पुं	x	x	692	x	x
411	उरुगाय	पुं	x	x	692	x	x
411	तमोघ्न	पुं	x	x	692	x	x
411	श्रवण	पुं	x	x	692	x	x
411	उदारथि	पुं	x	x	692	x	x
411	लतापर्ण	पुं	x	x	692	x	x
411	सुभद्र	पुं	x	x	692	x	x
411	पांशुजालिक	पुं	x	x	692	x	x
411	चतुर्व्यूह	पुं	x	x	692	x	x
411	नवव्यूह	पुं	x	x	692	x	x
411	नवशक्ति	पुं	x	x	692	x	x
411	षडङ्गजित्	पुं	x	x	692	x	x
411	द्वादशमूल	पुं	x	x	692	x	x
411	शतक	पुं	x	x	692	x	x
411	दशावतार	पुं	x	x	692	x	x
411	एकदृश्	पुं	x	x	692	x	x
411	हिरण्यकेश	पुं	x	x	692	x	x
411	सोम	पुं	x	x	692	x	x
411	अहि	पुं	x	x	692	x	x
411	त्रिधामन्	पुं	x	x	692	x	x
411	त्रिककुद्	पुं	x	x	692	x	x
411	त्रिपाद्	पुं	x	x	692	x	x
411	मानञ्जर	पुं	x	x	692	x	x
411	पराविद्ध	पुं	x	x	692	x	x
411	पृश्निगर्भ	पुं	x	x	692	x	x
411	अपराजित	पुं	x	x	692	x	x
411	हिरण्यनाभ	पुं	x	x	692	x	x
411	श्रीगर्भ	पुं	x	x	692	x	x
411	वृषोत्साह	पुं	x	x	692	x	x
411	सहस्रजित्	पुं	x	x	692	x	x
411	ऊर्ध्वकर्मन्	पुं	x	x	692	x	x
411	यज्ञधर	पुं	x	x	692	x	x
411	धर्मनेमि	पुं	x	x	692	x	x
411	असंयुत	पुं	x	x	692	x	x
411	पुरुष	पुं	x	x	692	x	x
411	योगनिद्रालु	पुं	x	x	692	x	x
411	खण्डास्य	पुं	x	x	692	x	x
411	शलिक	पुं	x	x	692	x	x
411	अजित	पुं	x	x	692	x	x
411	कालकुण्ठ	पुं	x	x	692	x	x
411	वरारोह	पुं	x	x	692	x	x
411	श्रीकर	पुं	x	x	692	x	x
411	वायुवाहन	पुं	x	x	692	x	x
411	वर्धमान	पुं	x	x	692	x	x
411	चतुर्दंष्ट्र	पुं	x	x	692	x	x
411	नृसिंहवपुस्	पुं	x	x	692	x	x
411	अव्यय	पुं	x	x	692	x	x
411	कपिल	पुं	x	x	692	x	x
411	भद्रकपिल	पुं	x	x	692	x	x
411	सुषेण	पुं	x	x	692	x	x
411	समितिञ्जय	पुं	x	x	692	x	x
411	क्रतुधामन्	पुं	x	x	692	x	x
411	वासुभद्र	पुं	x	x	692	x	x
411	बहुरूप	पुं	x	x	692	x	x
411	महाक्रम	पुं	x	x	692	x	x
411	विधातृ	पुं	x	x	692	x	x
411	धार	पुं	x	x	692	x	x
411	एकाङ्ग	पुं	x	x	692	x	x
411	वृषाक्ष	पुं	x	x	692	x	x
411	सुवृष	पुं	x	x	692	x	x
411	अक्षज	पुं	x	x	692	x	x
411	रन्तिदेव	पुं	x	x	692	x	x
411	सिन्धुवृष	पुं	x	x	692	x	x
411	जितमन्यु	पुं	x	x	692	x	x
411	वृकोदर	पुं	x	x	692	x	x
411	बहुशृङ्ग	पुं	x	x	692	x	x
411	रत्नबाहु	पुं	x	x	692	x	x
411	पुष्पहास	पुं	x	x	692	x	x
411	महातपस्	पुं	x	x	692	x	x
411	लोकनाभ	पुं	x	x	692	x	x
411	सूक्ष्मनाभ	पुं	x	x	692	x	x
411	धर्मनाभ	पुं	x	x	692	x	x
411	पराक्रम	पुं	x	x	692	x	x
411	पद्महास	पुं	x	x	692	x	x
411	महहंस	पुं	x	x	692	x	x
411	पद्मगर्भ	पुं	x	x	692	x	x
411	सुरोत्तम	पुं	x	x	692	x	x
411	शतवीर	पुं	x	x	692	x	x
411	महामाय	पुं	x	x	692	x	x
411	ब्रह्मनाभ	पुं	x	x	692	x	x
411	सरीसृप	पुं	x	x	692	x	x
411	वृन्दाङ्क	पुं	x	x	692	x	x
411	अधोमुख	पुं	x	x	692	x	x
411	धन्विन्	पुं	x	x	692	x	x
411	सुधन्वन्	पुं	x	x	692	x	x
411	विश्वभुज्	पुं	x	x	692	x	x
411	स्थिर	पुं	x	x	692	x	x
411	शतानन्त	पुं	x	x	692	x	x
